HASH,BRISK
city,BRISK,13,15,13,11,14,11,13,12,12,14,11,13,11,13,11,13,11,12,13,10,12
esgtsa_linear,BRISK,13,12,11,13,12,12,13,13,12,14,12,11,13,12,11,12,11,12,10,11,12
esgtsa_nested,BRISK,13,14,13,15,14,13,12,12,12,11,12,14,12,14,12,12,12,11,11,11,12
hybridtaus,BRISK,12,12,10,8,7,8,6,6,4,4,4,4,3,3
iqint1_linear,BRISK,14,23,15,15,15,11,13,17,12,13,14,11,10,13,11,12,14,12,12,13,11
iqint1_nested,BRISK,75,55,39,35,21,16,12,14,12,14,12,12,13,11,11,12,13,12,12,11,13
iqint2,BRISK,17,20,18,16,17,19,19,16,15,18,18,17,17,16,17,17,17,15,17,17,16
iqint3,BRISK,13,13,16,12,12,13,14,15,13,11,10,12,13,13,11,12,12,11,13,11,11
jkiss32_linear,BRISK,
jkiss32_nested,BRISK,
lcg_linear,BRISK,16,11,12,12,12,14,19,13,12,12,12,13,10,12,11,12,11,14,12,11,16
lcg_nested,BRISK,9,10,12,12,13,10,10,9,11,11,10,10,9,11,9,11,10,9,10,11,11
md5,BRISK,19,18,17,16,17,16,17,18,17,18,15,17,17,15,16,15,16,20,16,16,17
murmur3,BRISK,13,11,12,13,13,13,12,16,11,12,13,10,14,13,13,12,11,11,11,11,11
pcg3d,BRISK,17,17,16,18,17,19,16,16,18,17,16,19,18,17,19,18,16,16,16,17,17
pcg4d,BRISK,22,17,18,16,19,20,18,17,15,16,17,16,19,19,15,15,16,17,17,16,19
ranlim32_linear,BRISK,15,14,12,16,12,13,14,11,12,13,13,11,11,11,13,11,10,14,13,10,11
ranlim32_nested,BRISK,12,12,13,14,13,14,13,11,15,12,12,15,13,11,11,13,11,11,11,11,11
superfast,BRISK,13,12,14,13,12,12,12,12,13,15,14,15,12,11,10,12,13,12,12,12,11
tea2,BRISK,17,17,17,17,18,16,16,17,20,17,18,20,14,16,15,15,16,19,15,16,17
tea3,BRISK,18,18,17,18,18,18,17,16,16,15,17,16,17,19,15,17,17,18,15,15,15
tea4,BRISK,19,15,20,16,15,16,16,17,18,16,17,16,16,17,17,16,14,17,14,15,16
tea5,BRISK,16,20,16,19,16,14,18,14,20,18,15,17,16,16,16,17,15,17,18,15,19
wang_linear,BRISK,13,12,12,12,14,13,13,12,14,15,11,12,12,12,12,12,12,13,13,15,11
wang_nested,BRISK,12,14,13,11,16,13,12,13,13,12,11,13,14,12,12,13,11,10,11,11,11
xorshift128,BRISK,12,6,4
xorshift32_linear,BRISK,23,12,14,15,15,12,15,11,10,11,12,11,13,12,13,10,11,10,10,10,10
xorshift32_nested,BRISK,53,29,26,33,17,15,17,17,17,17,13,11,15,12,9,9,10,9,10,9,9
xxhash32,BRISK,12,12,14,13,13,13,14,12,16,12,12,13,13,13,13,11,11,11,12,11,10
