Hash,Min,Average,Max,Variance,Min,Average,Max,Variance,Min,Average,Max,Variance
bbs,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
city_2,15621,15622,15624,1,14789,14816,14851,463,820,871,916,1254
city_3,15622,15623,15624,1,14784,14816,14862,634,834,886,936,1320
city_4,15620,15623,15624,2,14818,14838,14870,340,814,865,924,1361
esgtsa_linear,15622,15623,15624,1,14795,14811,14838,156,587,646,711,1208
esgtsa_nested,15621,15623,15624,2,14791,14814,14832,233,834,868,906,585
fast,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
ign,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
iqint1_linear,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
iqint1_nested,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
iqint2,3045,3370,3527,21182,4,13,22,30,0,0,0,0
iqint3,15621,15623,15624,1,15224,15241,15257,172,14765,14798,14830,505
jkiss32_linear,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
jkiss32_nested,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
lcg_linear,15624,15624,15624,0,15373,15375,15375,1,15126,15128,15128,1
lcg_nested,15624,15624,15624,0,15374,15375,15375,0,15127,15128,15128,0
md5_2,228,242,260,137,0,0,0,0,0,0,0,0
md5_3,217,238,262,225,0,0,0,0,0,0,0,0
md5,213,243,264,269,0,0,0,0,0,0,0,0
murmur3_2,15620,15623,15624,2,14785,14804,14822,132,839,863,906,593
murmur3_3,15622,15623,15624,1,14803,14816,14838,163,853,878,919,415
murmur3_4,15621,15623,15624,1,14785,14815,14853,397,825,871,912,791
pcg_linear,15621,15623,15624,1,14788,14814,14841,317,589,625,673,1175
pcg_nested,15622,15623,15624,1,14778,14800,14832,403,815,871,904,794
pcg2d,13717,13741,13782,401,3,7,14,12,0,0,0,0
pcg3d,1566,1630,1685,2092,74,104,131,294,0,2,4,3
pcg3d16,15621,15621,15621,0,15372,15372,15372,0,15125,15125,15125,0
pcg4d,444,471,518,589,0,1,4,2,0,0,0,0
pseudo,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
ranlim32_linear,15622,15623,15624,1,14782,14808,14848,578,606,639,658,361
ranlim32_nested,15621,15623,15624,1,14778,14817,14836,378,830,862,972,2171
superfast_2,15622,15623,15624,0,14796,14810,14833,182,825,858,901,741
superfast_3,15621,15623,15624,1,14799,14823,14859,292,814,857,895,669
superfast_4,15621,15623,15624,2,14787,14815,14826,225,811,845,884,803
tea2,15624,15624,15624,0,15375,15375,15375,0,15109,15126,15128,45
tea3,15541,15566,15595,268,12655,13598,14816,532372,5979,11407,13722,5388376
tea4,13763,13834,13940,2709,3,10,25,41,0,0,0,0
tea5,13688,13732,13774,981,6,9,11,5,0,0,0,0
trig,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
wang_linear,15620,15623,15624,2,14741,14793,14830,678,620,643,676,384
wang_nested,15622,15623,15624,1,14804,14820,14842,169,843,884,924,889
xorshift128,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
xorshift32_linear,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
xorshift32_nested,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
xxhash32_2,15621,15623,15624,1,14794,14825,14872,578,844,878,920,941
xxhash32_3,15621,15623,15624,1,14785,14820,14858,571,824,867,905,556
xxhash32_4,15623,15623,15624,0,14784,14806,14832,365,853,881,907,464
hybridtaus,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
white,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
black,15624,15624,15624,0,15375,15375,15375,0,15128,15128,15128,0
checkerboard,15621,15621,15621,0,15372,15372,15372,0,15125,15125,15125,0
devrandom,219,239,257,206,0,0,0,0,0,0,0,0
